192.168.173.96 - - [05/May/2015:19:15:30 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.js HTTP/1.1" 304 -
192.168.173.96 - - [05/May/2015:19:15:30 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.validate.min.js HTTP/1.1" 304 -
192.168.173.96 - - [05/May/2015:19:15:30 +0530] "GET /newmoodle/img/website_home_page2.jpg HTTP/1.1" 304 -
192.168.173.96 - - [05/May/2015:19:15:30 +0530] "GET /newmoodle/validate.js HTTP/1.1" 404 993
192.168.173.96 - - [05/May/2015:19:15:30 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/bootstrap.min.js HTTP/1.1" 304 -
192.168.173.96 - - [05/May/2015:19:15:30 +0530] "GET /newmoodle/img/website_home_page3.jpg HTTP/1.1" 304 -
192.168.173.96 - - [05/May/2015:19:15:30 +0530] "GET /newmoodle/img/website_home_page4.jpg HTTP/1.1" 304 -
192.168.173.96 - - [05/May/2015:19:15:30 +0530] "GET /newmoodle/img/website_home_page5.jpg HTTP/1.1" 304 -
192.168.173.96 - - [05/May/2015:19:15:30 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
192.168.173.96 - - [05/May/2015:19:15:31 +0530] "GET /newmoodle/img/picto_navigation.png HTTP/1.1" 200 1412
192.168.173.96 - - [05/May/2015:19:15:35 +0530] "GET /newmoodle/login2.jsp HTTP/1.1" 200 14696
192.168.173.96 - - [05/May/2015:19:15:35 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/validate.js HTTP/1.1" 200 2422
192.168.173.96 - - [05/May/2015:19:15:35 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/login.js HTTP/1.1" 200 662
192.168.173.96 - - [05/May/2015:19:15:35 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/changePasssword.js HTTP/1.1" 200 558
192.168.173.96 - - [05/May/2015:19:15:35 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/selectname.js HTTP/1.1" 404 1045
192.168.173.96 - - [05/May/2015:19:15:35 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/insert.js HTTP/1.1" 200 593
192.168.173.96 - - [05/May/2015:19:15:42 +0530] "POST /newmoodle/login HTTP/1.1" 200 27
192.168.173.96 - - [05/May/2015:19:15:47 +0530] "POST /newmoodle/login HTTP/1.1" 200 7
192.168.173.96 - - [05/May/2015:19:15:47 +0530] "GET /newmoodle/student.jsp HTTP/1.1" 200 6201
192.168.173.96 - - [05/May/2015:19:15:47 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/insertquestion.js HTTP/1.1" 200 451
192.168.173.96 - - [05/May/2015:19:15:59 +0530] "GET /newmoodle/list_file?name=+mca-401+ HTTP/1.1" 200 1423
192.168.173.96 - - [05/May/2015:19:15:59 +0530] "GET /newmoodle/dwn.css HTTP/1.1" 200 301
192.168.173.96 - - [05/May/2015:19:16:01 +0530] "GET /newmoodle/download?fname=+Result.pdf+ HTTP/1.1" 200 49152
192.168.173.96 - - [05/May/2015:19:16:02 +0530] "GET /newmoodle/download?fname=+Result.pdf+ HTTP/1.1" 200 91529
192.168.173.96 - - [05/May/2015:19:16:12 +0530] "GET /newmoodle/logout HTTP/1.1" 200 2758
192.168.173.96 - - [05/May/2015:19:16:12 +0530] "GET /newmoodle/img/imac.png HTTP/1.1" 200 7843
192.168.173.96 - - [05/May/2015:19:16:15 +0530] "GET /newmoodle/logout HTTP/1.1" 200 2758
192.168.173.96 - - [05/May/2015:19:16:15 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.173.96 - - [05/May/2015:19:16:15 +0530] "GET /newmoodle/style.css HTTP/1.1" 304 -
192.168.173.96 - - [05/May/2015:19:16:15 +0530] "GET /newmoodle/bootstrap-3.3.2-dist/js/jquery.js HTTP/1.1" 304 -
